Instance Name,Number of Vehicles,min (sec),minmax,deltaFair 0.1,deltaFair 0.3,deltaFair 0.5,deltaFair 0.7,deltaFair 0.9
burma14,3,0.33,0.71,0.46,0.59,0.47,0.41,0.5
burma14,4,0.45,0.88,1.69,1.81,0.91,0.69,0.38
burma14,5,1.0,2.0,3.06,2.82,3.28,1.52,0.75
gr17,3,0.52,1.46,2.16,1.33,1.67,0.63,0.89
gr17,4,0.41,3.48,7.58,4.59,3.23,3.42,2.62
gr17,5,0.59,12.03,43.57,7.55,4.95,2.89,3.75
gr21,3,0.35,6.58,4.25,2.55,2.71,2.47,1.71
gr21,4,0.45,24.57,7.9,7.5,7.29,4.01,3.2
gr21,5,0.26,139.75,37.54,39.9,16.53,7.65,4.87
gr24,3,0.62,16.06,9.33,6.92,6.53,4.44,2.52
gr24,4,1.4,271.01,57.1,67.23,63.35,8.5,7.67
gr24,5,1.43,1933.85,316.64,194.65,169.37,45.92,9.71
fri26,3,0.78,9.04,8.52,7.35,11.12,3.75,4.08
fri26,4,2.14,30.78,22.79,46.65,35.7,15.91,7.28
fri26,5,1.46,58.48,45.56,65.2,183.7,24.87,5.91
bayg29,3,1.18,18.53,8.26,12.45,7.71,5.86,6.6
bayg29,4,2.15,84.64,22.35,22.52,11.69,10.49,5.4
bayg29,5,2.62,2657.92,99.79,104.61,36.91,17.26,8.7
bays29,3,1.03,15.38,224.72,8.64,17.61,6.96,5.13
bays29,4,3.61,45.18,19.25,16.37,13.8,7.28,7.83
bays29,5,5.34,TO (0.34),65.67,28.42,29.4,23.01,10.83
dantzig42,3,3.21,TO (0.03),141.58,89.93,71.95,30.45,12.69
dantzig42,4,4.76,TO (0.18),TO (0.07),1174.31,813.06,85.52,37.42
dantzig42,5,7.04,TO (0.39),TO (0.25),TO (0.08),TO (0.03),768.37,55.77
gr48,3,9.77,327.1,147.64,215.52,49.14,18.43,17.42
gr48,4,8.95,TO (0.06),2790.03,1062.36,167.17,24.11,31.32
gr48,5,21.65,TO (0.39),TO (0.2),TO (0.04),TO (0.01),535.01,56.6
att48,3,4.97,57.41,46.39,18.91,108.43,18.03,13.97
att48,4,6.83,675.81,279.58,71.01,59.48,24.6,27.66
att48,5,12.69,TO (0.05),TO (0.02),841.75,398.19,82.2,41.5
eil51,3,5.22,88.34,40.96,32.75,TO (0.15),17.4,8.49
eil51,4,20.51,675.6,93.72,242.88,73.94,36.6,40.8
eil51,5,30.47,TO (0.07),707.15,365.4,609.62,251.18,62.68
eil76,3,9.04,1064.41,TO (0.83),306.24,405.47,122.9,TO (0.12)
eil76,4,16.73,TO (0.48),TO (0.05),TO (0.03),932.19,316.48,218.01
eil76,5,63.47,TO (0.37),TO (0.76),TO (0.11),TO (0.07),TO (0.02),TO (0.14)
