Instance Name,Number of Vehicles,min (sec),minmax,epsFair 0.1,epsFair 0.3,epsFair 0.5,epsFair 0.7,epsFair 0.9
burma14,3,0.33,0.71,0.37,0.57,0.46,0.45,0.47
burma14,4,0.45,0.88,0.69,0.77,1.0,0.79,1.23
burma14,5,1.0,2.0,0.64,0.45,2.31,2.98,3.71
gr17,3,0.52,1.46,0.93,0.61,2.26,2.17,3.55
gr17,4,0.41,3.48,0.97,1.5,2.18,5.05,5.43
gr17,5,0.59,12.03,2.05,2.86,4.9,7.23,9.56
gr21,3,0.35,6.58,1.91,3.19,2.32,2.59,3.88
gr21,4,0.45,24.57,4.31,2.59,4.63,9.81,14.63
gr21,5,0.26,139.75,2.62,3.77,14.66,13.71,34.46
gr24,3,0.62,16.06,3.66,3.84,4.06,12.98,9.04
gr24,4,1.4,271.01,9.02,5.75,22.34,47.14,30.07
gr24,5,1.43,1933.85,12.33,15.5,39.28,111.62,210.76
fri26,3,0.78,9.04,3.77,5.28,3.54,10.19,5.58
fri26,4,2.14,30.78,4.87,8.61,18.61,15.97,15.62
fri26,5,1.46,58.48,5.01,6.42,23.72,95.94,115.06
bayg29,3,1.18,18.53,5.78,4.28,7.95,10.41,7.71
bayg29,4,2.15,84.64,5.28,5.17,12.24,12.81,15.14
bayg29,5,2.62,2657.92,10.07,11.15,23.04,45.38,115.52
bays29,3,1.03,15.38,4.3,6.01,6.66,8.24,136.25
bays29,4,3.61,45.18,5.69,7.29,9.6,16.35,13.9
bays29,5,5.34,TO (0.34),10.41,11.68,18.27,46.0,62.79
dantzig42,3,3.21,TO (0.03),11.2,23.47,42.1,69.96,255.28
dantzig42,4,4.76,TO (0.18),23.24,31.72,221.55,1098.86,TO (0.02)
dantzig42,5,7.04,TO (0.39),90.47,105.66,711.65,TO (0.1),TO (0.1)
gr48,3,9.77,327.1,19.54,21.77,17.11,76.2,75.47
gr48,4,8.95,TO (0.06),40.8,35.26,151.69,246.84,1002.27
gr48,5,21.65,TO (0.39),41.66,37.68,509.35,3262.45,TO (0.16)
att48,3,4.97,57.41,19.29,16.21,11.55,35.89,27.62
att48,4,6.83,675.81,28.84,26.17,50.48,66.43,136.1
att48,5,12.69,TO (0.05),44.51,51.07,68.22,280.67,1019.86
eil51,3,5.22,88.34,19.14,25.5,19.88,60.83,23.04
eil51,4,20.51,675.6,35.47,33.53,120.56,88.04,101.89
eil51,5,30.47,TO (0.07),54.35,55.34,128.35,342.25,1014.69
eil76,3,9.04,1064.41,126.62,101.82,96.3,444.11,415.54
eil76,4,16.73,TO (0.48),228.92,456.31,TO (0.33),1698.34,TO (0.03)
eil76,5,63.47,TO (0.37),402.87,208.48,TO (0.03),TO (0.07),TO (0.54)
