Instance Name,Number of Vehicles,min (sec),minmax,epsFair 0.1,epsFair 0.3,epsFair 0.5,epsFair 0.7,epsFair 0.9
A-n32-k5,5,2.1,TO (0.03),11.8,21.23,50.82,131.44,484.41
A-n33-k5,5,4.57,2515.92,7.53,16.15,21.87,53.65,157.34
A-n33-k6,6,5.03,TO (0.09),24.66,37.49,71.63,406.97,468.65
A-n34-k5,5,6.52,653.54,17.44,18.5,35.95,98.5,91.04
A-n36-k5,5,2.47,TO (0.12),14.98,7.89,23.83,32.35,65.53
A-n37-k5,5,2.82,TO (0.02),14.22,27.27,40.27,135.23,226.38
A-n37-k6,6,4.21,TO (0.37),24.53,45.35,71.0,265.27,1271.46
A-n38-k5,5,10.67,TO (0.01),15.26,13.13,28.52,68.51,151.72
A-n39-k5,5,5.16,TO (0.24),22.19,24.3,56.9,151.55,2058.0
A-n39-k6,6,16.21,TO (0.26),69.51,60.58,312.4,1263.81,TO (0.04)
A-n44-k6,6,27.24,TO (0.47),63.99,162.15,621.07,2755.74,TO (0.06)
A-n45-k6,6,13.58,TO (0.4),64.72,74.68,124.8,440.86,3083.7
A-n45-k7,7,41.15,TO (0.68),96.55,521.14,TO (0.09),TO (0.35),TO (0.54)
A-n46-k7,7,26.62,TO (0.61),101.84,221.38,1461.56,TO (0.22),TO (0.45)
A-n48-k7,7,51.32,TO (0.71),133.89,1045.04,TO (0.16),TO (0.4),TO (0.51)
E-n13-k4,4,0.19,4.48,0.48,1.16,1.62,2.31,4.53
E-n22-k4,4,0.98,24.2,3.26,2.24,7.3,6.68,8.31
E-n23-k3,3,0.67,5.14,2.76,1.57,1.42,4.17,3.12
E-n30-k3,3,0.92,10.07,1.63,2.75,1.39,5.53,7.5
E-n31-k7,7,3.19,TO (0.64),19.13,113.2,356.37,TO (0.1),TO (0.24)
E-n33-k4,4,3.67,TO (0.02),10.92,10.48,69.86,145.29,126.66
E-n51-k5,5,14.76,TO (0.13),73.1,56.65,242.21,1047.32,TO (0.03)
