Instance Name,Number of Vehicles,min (sec),minmax ,pNorm 2,pNorm 3,pNorm 5,pNorm 10
burma14,3,0.33,0.71,0.64,0.67,0.76,0.48
burma14,4,0.45,0.88,1.48,2.02,1.2,2.34
burma14,5,1.0,2.0,2.65,3.13,3.79,2.79
gr17,3,0.52,1.46,1.42,1.51,1.45,2.74
gr17,4,0.41,3.48,2.92,3.13,3.86,8.16
gr17,5,0.59,12.03,3.31,7.2,6.33,6.36
gr21,3,0.35,6.58,2.23,5.63,4.3,5.02
gr21,4,0.45,24.57,5.67,7.37,13.42,13.42
gr21,5,0.26,139.75,11.49,16.83,17.99,27.14
gr24,3,0.62,16.06,7.44,5.45,11.29,11.77
gr24,4,1.4,271.01,36.25,54.31,81.87,220.41
gr24,5,1.43,1933.85,122.84,280.37,678.98,842.29
fri26,3,0.78,9.04,8.32,8.08,10.78,6.77
fri26,4,2.14,30.78,22.05,37.61,29.01,18.03
fri26,5,1.46,58.48,60.92,82.61,55.27,60.09
bayg29,3,1.18,18.53,7.99,7.3,6.52,9.04
bayg29,4,2.15,84.64,17.08,25.58,63.57,48.65
bayg29,5,2.62,2657.92,45.74,140.35,385.18,240.71
bays29,3,1.03,15.38,7.52,7.96,8.0,8.21
bays29,4,3.61,45.18,14.63,15.05,14.84,28.17
bays29,5,5.34,TO (0.34),66.13,129.02,75.16,163.8
dantzig42,3,3.21,TO (0.03),173.93,832.78,2093.28,TO (0.02)
dantzig42,4,4.76,TO (0.18),825.83,TO (0.11),TO (0.09),TO (0.11)
dantzig42,5,7.04,TO (0.39),TO (0.03),TO (0.39),TO (0.27),TO (0.52)
gr48,3,9.77,327.1,151.46,104.25,150.43,324.16
gr48,4,8.95,TO (0.06),2344.0,TO (0.06),2909.32,TO (0.04)
gr48,5,21.65,TO (0.39),TO (0.2),TO (0.25),TO (0.2),TO (0.16)
att48,3,4.97,57.41,32.91,28.05,37.79,24.65
att48,4,6.83,675.81,357.23,106.62,220.68,199.84
att48,5,12.69,TO (0.05),2447.5,1870.32,1557.95,2892.54
eil51,3,5.22,88.34,35.78,60.59,45.56,42.71
eil51,4,20.51,675.6,203.81,228.53,237.73,200.76
eil51,5,30.47,TO (0.07),876.74,1317.25,858.31,2710.49
eil76,3,9.04,1064.41,1090.45,922.68,440.79,559.85
eil76,4,16.73,TO (0.48),TO (0.02),TO (0.02),TO (0.01),TO (0.05)
eil76,5,63.47,TO (0.37),TO (0.3),TO (0.29),TO (0.3),TO (0.24)
