Instance Name,Number of Vehicles,min (sec),minmax ,pNorm 2,pNorm 3,pNorm 5,pNorm 10
A-n32-k5,5,2.1,-,344.18,313.24,445.24,541.0
A-n33-k5,5,4.57,2515.92,150.36,171.57,270.5,505.83
A-n33-k6,6,5.03,-,696.25,663.47,1504.62,2141.66
A-n34-k5,5,6.52,653.54,262.12,126.28,236.22,237.7
A-n36-k5,5,2.47,-,1017.88,2623.83,-,-
A-n37-k5,5,2.82,-,462.21,347.5,394.69,750.2
A-n37-k6,6,4.21,-,-,-,-,-
A-n38-k5,5,10.67,-,335.3,276.52,1460.88,790.71
A-n39-k5,5,5.16,-,1183.26,-,-,-
A-n39-k6,6,16.21,-,-,-,-,-
A-n44-k6,6,27.24,-,-,-,-,-
A-n45-k6,6,13.58,-,2773.11,-,-,-
A-n45-k7,7,41.15,-,-,-,-,-
A-n46-k7,7,26.62,-,-,-,-,-
A-n48-k7,7,51.32,-,-,-,-,-
E-n13-k4,4,0.19,4.48,1.87,4.3,2.58,3.27
E-n22-k4,4,0.98,24.2,8.41,9.71,8.92,13.92
E-n23-k3,3,0.67,5.14,3.15,5.6,5.67,3.98
E-n30-k3,3,0.92,10.07,5.18,9.3,5.21,9.24
E-n31-k7,7,3.19,-,-,-,-,-
E-n33-k4,4,3.67,-,48.7,125.38,225.38,905.19
E-n51-k5,5,14.76,-,1818.56,2254.99,-,-
